"Pentad","site_id","year","log_dist_coast","elev","log_hum.km2","wetcon","watrec","watext","log_watext","ndvi","prcp","tdiff","watrec:watext"
"2205_2930",1,2022,6.22230852789112,518.31126417344,2.0932337445848,2,1.79842864723302,2065,7.63336964967958,0.382740360277392,23.4791666666667,15.5479166666667,3713.75515653619
"2205_2930",1,2023,6.22230852789112,518.31126417344,2.0932337445848,2,1.79842864723302,2065,7.63336964967958,0.376005269148946,36.3125,15.5479166666667,3713.75515653619
"2205_2930",1,2024,6.22230852789112,518.31126417344,2.0932337445848,2,1.79842864723302,2065,7.63336964967958,0.328236442537045,14.6041666666667,15.5479166666667,3713.75515653619
"2205_2935",2,2022,6.21114420190601,502.617291530477,3.6513030886038,2,2.09468763528589,5656,8.64064899534316,0.438236977886978,24.2291666666667,15.3333333333333,11847.553265177
"2205_2935",2,2023,6.21114420190601,502.617291530477,3.6513030886038,2,2.09468763528589,5656,8.64064899534316,0.415860663832703,37.7916666666667,15.3333333333334,11847.553265177
"2205_2935",2,2024,6.21114420190601,502.617291530477,3.6513030886038,2,2.09468763528589,5656,8.64064899534316,0.390645240524701,14.7708333333333,15.3333333333334,11847.553265177
"2205_2940",3,2022,6.20001952919041,504.293084515973,2.60287298540474,0,2.30117504926002,4097,8.31825432879885,0.401694152866383,25.0208333333333,15.1020833333334,9427.9141768183
"2205_2940",3,2023,6.20001952919041,504.293084515973,2.60287298540474,0,2.30117504926002,4097,8.31825432879885,0.364106499823199,39.4791666666667,15.1020833333333,9427.9141768183
"2205_2940",3,2024,6.20001952919041,504.293084515973,2.60287298540474,0,2.30117504926002,4097,8.31825432879885,0.335509756272745,15,15.1020833333334,9427.9141768183
"2205_2945",4,2022,6.18894571642133,514.87701178899,0.256475935865699,0,1.74953899011336,2428,7.79523492900217,0.412121879091798,25.9583333333333,14.8354166666667,4247.88066799524
"2205_2945",4,2023,6.18894571642133,514.87701178899,0.256475935865699,0,1.74953899011336,2428,7.79523492900217,0.376823612402787,41.625,14.8354166666667,4247.88066799524
"2205_2945",4,2024,6.18894571642133,514.87701178899,0.256475935865699,0,1.74953899011336,2428,7.79523492900217,0.347550407084992,15.5208333333333,14.8354166666667,4247.88066799524
"2210_2900",5,2022,6.2775805313148,557.55648047558,0.70366288543948,0,1.82533693653247,1363,7.21817683840341,0.342568273327731,22.8541666666667,16.4354166666667,2487.93424449376
"2210_2900",5,2023,6.2775805313148,557.55648047558,0.70366288543948,0,1.82533693653247,1363,7.21817683840341,0.328009487925162,28.875,16.4354166666666,2487.93424449376
"2210_2900",5,2024,6.2775805313148,557.55648047558,0.70366288543948,0,1.82533693653247,1363,7.21817683840341,0.302553051697702,16.6458333333333,16.4354166666667,2487.93424449376
"2210_2905",6,2022,6.26605023690468,546.966004246759,1.9747613388795,0,1.90027451806969,1543,7.34213173058472,0.336377287294131,22.7916666666667,16.4458333333333,2932.12358138153
"2210_2905",6,2023,6.26605023690468,546.966004246759,1.9747613388795,0,1.90027451806969,1543,7.34213173058472,0.315840297140456,30.0625,16.4458333333333,2932.12358138153
"2210_2905",6,2024,6.26605023690468,546.966004246759,1.9747613388795,0,1.90027451806969,1543,7.34213173058472,0.275258173113249,16.3333333333333,16.4458333333333,2932.12358138153
"2210_2910",7,2022,6.2545115312579,531.622617761357,1.43025092326788,1.59278655291832,1.75075761339361,2127,7.66293785046154,0.361214402208466,22.6458333333333,16.3833333333333,3723.86144368821
"2210_2910",7,2023,6.2545115312579,531.622617761357,1.43025092326788,1.59278655291832,1.75075761339361,2127,7.66293785046154,0.336014967777841,30.7291666666667,16.3833333333333,3723.86144368821
"2210_2910",7,2024,6.2545115312579,531.622617761357,1.43025092326788,1.59278655291832,1.75075761339361,2127,7.66293785046154,0.315786191925018,15.8333333333333,16.3833333333334,3723.86144368821
